signal_date,hold_date,top_tickers,avg_actual_return
2022-05-11,2022-06-24,"AMZN, GOOGL, MSFT",5.79
2022-06-24,2022-08-08,"AMZN, TSLA, AAPL",18.15
2022-08-08,2022-09-20,"TSLA, AAPL, AMZN",-3.63
2022-09-20,2022-11-01,"NVDA, AAPL, MSFT",-2.36
2022-11-01,2022-12-14,"NVDA, META, MSFT",23.77
2022-12-14,2023-01-30,"META, TSLA, NVDA",11.88
2023-01-30,2023-03-14,"NVDA, META, TSLA",22.5
2023-03-14,2023-04-26,"NVDA, MSFT, META",11.07
2023-04-26,2023-06-08,"TSLA, NVDA, META",40.66
2023-06-08,2023-07-24,"NVDA, TSLA, META",13.54
2023-07-24,2023-09-05,"GOOGL, AMZN, NVDA",9.04
2023-09-05,2023-10-17,"META, MSFT, GOOGL",3.47
2023-10-17,2023-11-29,"NVDA, MSFT, AMZN",11.73
2023-11-29,2024-01-12,"NVDA, META, GOOGL",10.69
2024-01-12,2024-02-27,"NVDA, META, AMZN",28.76
2024-02-27,2024-04-10,"GOOGL, NVDA, AMZN",10.06
2024-04-10,2024-05-22,"NVDA, AAPL, GOOGL",12.0
2024-05-22,2024-07-08,"TSLA, NVDA, AAPL",31.6
2024-07-08,2024-08-19,"META, NVDA, AAPL",0.22
2024-08-19,2024-10-01,"TSLA, META, AMZN",9.58
2024-10-01,2024-11-12,"TSLA, NVDA, AMZN",22.3
2024-11-12,2024-12-26,"TSLA, AAPL, GOOGL",20.53
2024-12-26,2025-02-11,"META, AMZN, NVDA",5.57
2025-02-11,2025-03-26,"AAPL, MSFT, GOOGL",-6.88
2025-03-26,2025-05-08,"MSFT, TSLA, NVDA",6.74
